?cls	?xref
<http://purl.obolibrary.org/obo/CHEBI_16134>	"Wikipedia:Ammonia"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22150211"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22088435"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:16348008"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:11540049"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22560242"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"KEGG:C00014"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:17569513"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:11783653"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22130175"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"PMID:22443779"
<http://purl.obolibrary.org/obo/CHEBI_16134>	"Beilstein:3587154"
<http://purl.obolibrary.org/obo/CHEBI_10545>	"Wikipedia:Electron"
<http://purl.obolibrary.org/obo/CHEBI_10545>	"KEGG:C05359"
<http://purl.obolibrary.org/obo/CHEBI_10545>	"PMID:21614077"
<http://purl.obolibrary.org/obo/NCBITaxon_131567>	"GC_ID:1"
<http://purl.obolibrary.org/obo/GO_0006518>	"Reactome:R-HSA-2980736"
<http://purl.obolibrary.org/obo/GO_0055086>	"Reactome:R-HSA-15869"
<http://purl.obolibrary.org/obo/GO_0055086>	"Reactome:R-HSA-2393930"
<http://purl.obolibrary.org/obo/CL_0000225>	"FMA:68647"
<http://purl.obolibrary.org/obo/GO_0009314>	"GO:0009314"
<http://purl.obolibrary.org/obo/GO_0044238>	"Wikipedia:Primary_metabolite"
<http://purl.obolibrary.org/obo/GO_0005575>	"NIF_Subcellular:sao1337158144"
<http://purl.obolibrary.org/obo/UBERON_0000071>	"XAO:0000437"
<http://purl.obolibrary.org/obo/UBERON_0000071>	"XtroDO:0000085"
<http://purl.obolibrary.org/obo/GO_0016020>	"Wikipedia:Transmembrane_protein"
<http://purl.obolibrary.org/obo/GO_0016020>	"Wikipedia:Biological_membrane"
<http://purl.obolibrary.org/obo/GO_0050896>	"SNOMEDCT:248237001"
<http://purl.obolibrary.org/obo/GO_0050896>	"GO:0050896"
<http://purl.obolibrary.org/obo/GO_0012505>	"Wikipedia:Endomembrane_system"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"PMID:30257078"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"PMID:23020233"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"GC_ID:1"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"SNOMEDCT:415671008"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"NIFSTD:birnlex_399"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"MESH:D056890"
<http://purl.obolibrary.org/obo/NCBITaxon_2759>	"NCIt:C25796"
<http://purl.obolibrary.org/obo/CL_0000000>	"CALOHA:TS-2035"
<http://purl.obolibrary.org/obo/CL_0000000>	"MESH:D002477"
<http://purl.obolibrary.org/obo/CL_0000000>	"XAO:0003012"
<http://purl.obolibrary.org/obo/CL_0000000>	"VHOG:0001533"
<http://purl.obolibrary.org/obo/CL_0000000>	"GO:0005623"
<http://purl.obolibrary.org/obo/CL_0000000>	"FMA:68646"
<http://purl.obolibrary.org/obo/CL_0000000>	"WBbt:0004017"
<http://purl.obolibrary.org/obo/CL_0000000>	"KUPO:0000002"
<http://purl.obolibrary.org/obo/CL_0000000>	"NCIt:C12508"
<http://purl.obolibrary.org/obo/CL_0000000>	"WBbt:0004017\n"
<http://purl.obolibrary.org/obo/CL_0000000>	"CALOHA:TS-2035\n"
<http://purl.obolibrary.org/obo/CL_0000000>	"VHOG:0001533\n\n"
<http://purl.obolibrary.org/obo/CL_0000000>	"FBbt:00007002"
<http://purl.obolibrary.org/obo/CL_0000000>	"NCIt:C48694"
<http://purl.obolibrary.org/obo/CL_0000000>	"KUPO:0000002\n\n"
<http://purl.obolibrary.org/obo/CL_0000000>	"XAO:0003012\n\n"
<http://purl.obolibrary.org/obo/CL_0000000>	"FMA:68646\n "
<http://purl.obolibrary.org/obo/CL_0000000>	"ZFA:0009000"
<http://purl.obolibrary.org/obo/CL_0000000>	"GO:0005623\n"
<http://purl.obolibrary.org/obo/BFO_0000015>	"NCIt:C29862"
<http://purl.obolibrary.org/obo/BFO_0000015>	"SNOMEDCT:415178003"
<http://purl.obolibrary.org/obo/GO_0005622>	"Wikipedia:Intracellular"
<http://purl.obolibrary.org/obo/GO_0005622>	"SNOMEDCT:83167003"
<http://purl.obolibrary.org/obo/GO_0005622>	"NCIt:C28217"
<http://purl.obolibrary.org/obo/GO_0006996>	"Reactome:R-HSA-1852241"
<http://purl.obolibrary.org/obo/GO_0031965>	"NIF_Subcellular:sao1687101204"
<http://purl.obolibrary.org/obo/CL_0000228>	"AEO:0000203"
<http://purl.obolibrary.org/obo/CL_0000228>	"WBbt:0008074"
<http://purl.obolibrary.org/obo/GO_0031090>	"NIF_Subcellular:sao830981606"
<http://purl.obolibrary.org/obo/CL_0002242>	"FMA:67513"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"ncithesaurus:Life"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"OGES:000011"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"FBdv:00000000"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"MmusDv:0000001"
<http://purl.obolibrary.org/obo/UBERON_0000104>	"HsapDv:0000001"
<http://purl.obolibrary.org/obo/GO_0009987>	"NCIt:C20480"
<http://purl.obolibrary.org/obo/UBERON_0000000>	"BFO:0000003"
<http://purl.obolibrary.org/obo/GO_0005773>	"Wikipedia:Vacuole"
<http://purl.obolibrary.org/obo/CHEBI_18282>	"KEGG:C00701"
<http://purl.obolibrary.org/obo/CHEBI_18282>	"Wikipedia:Nucleobase"
<http://purl.obolibrary.org/obo/BFO_0000023>	"NCIt:C48835"
<http://purl.obolibrary.org/obo/BFO_0000023>	"MESH:D012380"
<http://purl.obolibrary.org/obo/GO_0043043>	"Reactome:R-HSA-9037628"
<http://purl.obolibrary.org/obo/CHEBI_33697>	"CAS:63231-63-0"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"PMID:32761142"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"PMID:30365038"
<http://purl.obolibrary.org/obo/NCBITaxon_1>	"GC_ID:1"
<http://purl.obolibrary.org/obo/GO_0061024>	"Reactome:R-HSA-199991"
<http://purl.obolibrary.org/obo/GO_0009058>	"Wikipedia:Anabolism"
<http://purl.obolibrary.org/obo/GO_0006414>	"Reactome:R-HSA-156842"
<http://purl.obolibrary.org/obo/GO_0010467>	"Wikipedia:Gene_expression"
<http://purl.obolibrary.org/obo/GO_0008652>	"Wikipedia:Amino_acid_synthesis"
<http://purl.obolibrary.org/obo/PATO_0001241>	"snap:Quality"
<http://purl.obolibrary.org/obo/BFO_0000020>	"BFO:0000020"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"MA:0000001"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"TAO:0100000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"AAO:0010841"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"HAO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"ZFA:0100000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"FMA:62955"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"WBbt:0000100"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"TGMA:0001822"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BFO:0000004"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"BILA:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"AEO:0000000"
<http://purl.obolibrary.org/obo/UBERON_0001062>	"NCIT:C12219"
