?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CHEBI_33315>	<http://www.w3.org/2000/01/rdf-schema#label>	"monoatomic helium"	
<http://purl.obolibrary.org/obo/CHEBI_64909>	<http://www.w3.org/2000/01/rdf-schema#label>	"poison"	
<http://purl.obolibrary.org/obo/CHEBI_33703>	<http://www.w3.org/2000/01/rdf-schema#label>	"amino-acid cation"	
<http://purl.obolibrary.org/obo/CHEBI_79388>	<http://www.w3.org/2000/01/rdf-schema#label>	"divalent inorganic anion"	
<http://purl.obolibrary.org/obo/CHEBI_77941>	<http://www.w3.org/2000/01/rdf-schema#label>	"EC 3.5.1.4 (amidase) inhibitor"	
<http://purl.obolibrary.org/obo/CHEBI_64709>	<http://www.w3.org/2000/01/rdf-schema#label>	"organic acid"	
<http://purl.obolibrary.org/obo/CHEBI_33256>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary amide"	
<http://purl.obolibrary.org/obo/CHEBI_36915>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic cation"	
<http://purl.obolibrary.org/obo/CHEBI_36963>	<http://www.w3.org/2000/01/rdf-schema#label>	"organooxygen compound"	
<http://purl.obolibrary.org/obo/CHEBI_64767>	<http://www.w3.org/2000/01/rdf-schema#label>	"anionic group"	
<http://purl.obolibrary.org/obo/CHEBI_36347>	<http://www.w3.org/2000/01/rdf-schema#label>	"nuclear particle"	
<http://purl.obolibrary.org/obo/CHEBI_75768>	<http://www.w3.org/2000/01/rdf-schema#label>	"mammalian metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_36357>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyatomic entity"	
<http://purl.obolibrary.org/obo/CHEBI_33251>	<http://www.w3.org/2000/01/rdf-schema#label>	"monoatomic hydrogen"	
<http://purl.obolibrary.org/obo/CHEBI_33655>	<http://www.w3.org/2000/01/rdf-schema#label>	"aromatic compound"	
<http://purl.obolibrary.org/obo/CHEBI_36342>	<http://www.w3.org/2000/01/rdf-schema#label>	"subatomic particle"	
<http://purl.obolibrary.org/obo/CHEBI_35406>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxoanion"	
<http://purl.obolibrary.org/obo/CHEBI_24433>	<http://www.w3.org/2000/01/rdf-schema#label>	"group"	
<http://purl.obolibrary.org/obo/CHEBI_33679>	<http://www.w3.org/2000/01/rdf-schema#label>	"helium molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_50906>	<http://www.w3.org/2000/01/rdf-schema#label>	"role"	
<http://purl.obolibrary.org/obo/CHEBI_22221>	<http://www.w3.org/2000/01/rdf-schema#label>	"acyl group"	
<http://purl.obolibrary.org/obo/CHEBI_33302>	<http://www.w3.org/2000/01/rdf-schema#label>	"pnictogen molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_33242>	<http://www.w3.org/2000/01/rdf-schema#label>	"inorganic hydride"	
<http://purl.obolibrary.org/obo/CHEBI_33583>	<http://www.w3.org/2000/01/rdf-schema#label>	"noble gas molecular entity"	
<http://purl.obolibrary.org/obo/CHEBI_33595>	<http://www.w3.org/2000/01/rdf-schema#label>	"cyclic compound"	
<http://purl.obolibrary.org/obo/CHEBI_33937>	<http://www.w3.org/2000/01/rdf-schema#label>	"macronutrient"	
<http://purl.obolibrary.org/obo/CHEBI_39141>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bronsted acid"	
<http://purl.obolibrary.org/obo/CHEBI_33704>	<http://www.w3.org/2000/01/rdf-schema#label>	"alpha-amino acid"	
<http://purl.obolibrary.org/obo/CHEBI_25212>	<http://www.w3.org/2000/01/rdf-schema#label>	"metabolite"	
<http://purl.obolibrary.org/obo/CHEBI_36916>	<http://www.w3.org/2000/01/rdf-schema#label>	"cation"	
<http://purl.obolibrary.org/obo/CHEBI_25555>	<http://www.w3.org/2000/01/rdf-schema#label>	"nitrogen atom"	
<http://purl.obolibrary.org/obo/CHEBI_15841>	<http://www.w3.org/2000/01/rdf-schema#label>	"polypeptide"	
<http://purl.obolibrary.org/obo/CHEBI_36358>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyatomic ion"	
<http://purl.obolibrary.org/obo/CHEBI_52209>	<http://www.w3.org/2000/01/rdf-schema#label>	"aetiopathogenetic role"	
<http://purl.obolibrary.org/obo/CHEBI_30412>	<http://www.w3.org/2000/01/rdf-schema#label>	"monoatomic dication"	
<http://purl.obolibrary.org/obo/CHEBI_22563>	<http://www.w3.org/2000/01/rdf-schema#label>	"anion"	
<http://purl.obolibrary.org/obo/CHEBI_33252>	<http://www.w3.org/2000/01/rdf-schema#label>	"atomic nucleus"	
<http://purl.obolibrary.org/obo/CHEBI_27594>	<http://www.w3.org/2000/01/rdf-schema#label>	"carbon atom"	
<http://purl.obolibrary.org/obo/CHEBI_15986>	<http://www.w3.org/2000/01/rdf-schema#label>	"polynucleotide"	
<http://purl.obolibrary.org/obo/CHEBI_33560>	<http://www.w3.org/2000/01/rdf-schema#label>	"p-block element atom"	
<http://purl.obolibrary.org/obo/CHEBI_76946>	<http://www.w3.org/2000/01/rdf-schema#label>	"fungal metabolite"	
