?cls	?pred	?val	?synType
<http://purl.obolibrary.org/obo/CL_1000275>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"non-striated muscle fiber of small intestine"	
<http://purl.obolibrary.org/obo/GO_1905141>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of apical ectodermal ridge formation"	
<http://purl.obolibrary.org/obo/GO_1905141>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of apical epidermal ridge formation"	
<http://purl.obolibrary.org/obo/GO_1905141>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of apical epidermal ridge formation"	
<http://purl.obolibrary.org/obo/GO_1905141>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"negative regulation of apical epidermal ridge formation"	
<http://purl.obolibrary.org/obo/GO_1905141>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of apical ectodermal ridge formation"	
<http://purl.obolibrary.org/obo/GO_1905141>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of apical epidermal ridge formation"	
<http://purl.obolibrary.org/obo/GO_1905141>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of apical ectodermal ridge formation"	
<http://purl.obolibrary.org/obo/CHEBI_35693>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"dicarboxylic acid anion"	
<http://purl.obolibrary.org/obo/GO_0030036>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"actin cytoskeleton organisation"	
<http://purl.obolibrary.org/obo/GO_0048743>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"positive regulation of skeletal myofibre development"	
<http://purl.obolibrary.org/obo/GO_0048743>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of skeletal muscle fiber development"	
<http://purl.obolibrary.org/obo/GO_0048743>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"positive regulation of skeletal myofiber development"	
<http://purl.obolibrary.org/obo/GO_0048743>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"positive regulation of skeletal muscle fibre development"	
<http://purl.obolibrary.org/obo/GO_0048743>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of skeletal muscle fiber development"	
<http://purl.obolibrary.org/obo/GO_0048743>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of skeletal muscle fiber development"	
<http://purl.obolibrary.org/obo/GO_0032414>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of ion transporter activity"	
<http://purl.obolibrary.org/obo/GO_0032414>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"positive regulation of ion transporter activity"	
<http://purl.obolibrary.org/obo/GO_0032414>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of ion transporter activity"	
<http://purl.obolibrary.org/obo/GO_0032414>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of ion transporter activity"	
<http://purl.obolibrary.org/obo/GO_0010001>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neuroglia differentiation"	
<http://purl.obolibrary.org/obo/GO_0010001>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"glia cell differentiation"	
<http://purl.obolibrary.org/obo/UBERON_0002346>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neural ectoderm"	
<http://purl.obolibrary.org/obo/UBERON_0002346>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neuroectoderm"	
<http://purl.obolibrary.org/obo/GO_0048243>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"noradrenaline secretion"	
<http://purl.obolibrary.org/obo/UBERON_0001303>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"left oviduct"	
<http://purl.obolibrary.org/obo/UBERON_0001303>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"left fallopian tube"	
<http://purl.obolibrary.org/obo/GO_0001938>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of endothelial cell proliferation"	
<http://purl.obolibrary.org/obo/GO_0001938>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of endothelial cell proliferation"	
<http://purl.obolibrary.org/obo/GO_0001938>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of endothelial cell proliferation"	
<http://purl.obolibrary.org/obo/UBERON_0003113>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"dendrocranium"	
<http://purl.obolibrary.org/obo/UBERON_0003113>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"exocranium"	
<http://purl.obolibrary.org/obo/GO_1902250>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of red blood cell apoptotic process"	
<http://purl.obolibrary.org/obo/GO_1902250>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of RBC apoptotic process"	
<http://purl.obolibrary.org/obo/GO_0050962>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"sensory perception, sensory detection of light stimulus"	
<http://purl.obolibrary.org/obo/GO_0050962>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"sensory detection of light stimulus during sensory perception"	
<http://purl.obolibrary.org/obo/GO_0050962>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"sensory perception, sensory transduction of light stimulus"	
<http://purl.obolibrary.org/obo/GO_0050962>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"sensory transduction of light stimulus during sensory perception"	
<http://purl.obolibrary.org/obo/GO_0050962>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"sensory transduction of light stimulus"	
<http://purl.obolibrary.org/obo/GO_0050962>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"sensory detection of light stimulus"	
<http://purl.obolibrary.org/obo/UBERON_0008876>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"hypodermis muscle layer"	
<http://purl.obolibrary.org/obo/UBERON_0008876>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"hypodermal muscle layer"	
<http://purl.obolibrary.org/obo/UBERON_0008876>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"superficial fascia muscular layer"	
<http://purl.obolibrary.org/obo/CHEBI_33485>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"chalcogen oxoanion"	
<http://purl.obolibrary.org/obo/UBERON_0004060>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neural tube ventricular germinal zone"	
<http://purl.obolibrary.org/obo/UBERON_0004060>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neural tube ependymal layer"	
<http://purl.obolibrary.org/obo/UBERON_0004060>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neural tube ventricular zone"	
<http://purl.obolibrary.org/obo/UBERON_0007277>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"presumptive rhombencephalon"	
<http://purl.obolibrary.org/obo/UBERON_0013727>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"notochord fluid"	
<http://purl.obolibrary.org/obo/UBERON_0013727>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"portion of notochordal fluid"	
<http://purl.obolibrary.org/obo/CL_0000362>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"cell of epidermis"	
<http://purl.obolibrary.org/obo/GO_0045839>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"negative regulation of mitosis"	
<http://purl.obolibrary.org/obo/GO_0045839>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of mitosis"	
<http://purl.obolibrary.org/obo/GO_0045839>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of mitosis"	
<http://purl.obolibrary.org/obo/GO_0045839>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of mitosis"	
<http://purl.obolibrary.org/obo/GO_0010711>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"negative regulation of collagen degradation"	
<http://purl.obolibrary.org/obo/GO_0010711>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"negative regulation of collagen catabolism"	
<http://purl.obolibrary.org/obo/GO_0010711>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of collagen catabolic process"	
<http://purl.obolibrary.org/obo/GO_0010711>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of collagen catabolic process"	
<http://purl.obolibrary.org/obo/GO_0010711>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of collagen catabolic process"	
<http://purl.obolibrary.org/obo/GO_0010711>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"negative regulation of collagen breakdown"	
<http://purl.obolibrary.org/obo/GO_1905903>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of mesoderm formation"	
<http://purl.obolibrary.org/obo/GO_1905903>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of mesoderm formation"	
<http://purl.obolibrary.org/obo/GO_1905903>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of mesoderm formation"	
<http://purl.obolibrary.org/obo/GO_1905278>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of epithelial tube formation"	
<http://purl.obolibrary.org/obo/GO_1905278>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of epithelial tube formation"	
<http://purl.obolibrary.org/obo/GO_1905278>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of epithelial tube formation"	
<http://purl.obolibrary.org/obo/GO_0010664>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of striated muscle cell apoptosis"	
<http://purl.obolibrary.org/obo/GO_0010664>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of striated muscle cell apoptosis"	
<http://purl.obolibrary.org/obo/GO_0010664>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of striated muscle cell apoptosis"	
<http://purl.obolibrary.org/obo/UBERON_0003849>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neural crest midbrain"	
<http://purl.obolibrary.org/obo/UBERON_0003849>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"mesencephalic neural crest"	
<http://purl.obolibrary.org/obo/UBERON_0014610>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"thoracic spinal cord ventral horn"	<http://purl.obolibrary.org/obo/uberon/core#HUMAN_PREFERRED>
<http://purl.obolibrary.org/obo/GO_1903336>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of vacuolar transport"	
<http://purl.obolibrary.org/obo/GO_1903336>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of vacuolar transport"	
<http://purl.obolibrary.org/obo/GO_1903336>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of vacuolar transport"	
<http://purl.obolibrary.org/obo/GO_1901609>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of microtubule-based vesicle localization"	
<http://purl.obolibrary.org/obo/GO_1901609>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of vesicle transport along microtubule"	
<http://purl.obolibrary.org/obo/GO_1901609>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"downregulation of microtubule-based vesicle localization"	
<http://purl.obolibrary.org/obo/GO_1901609>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of microtubule-based vesicle localization"	
<http://purl.obolibrary.org/obo/GO_1901609>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"inhibition of microtubule-based vesicle localization"	
<http://purl.obolibrary.org/obo/GO_1901609>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down regulation of vesicle transport along microtubule"	
<http://purl.obolibrary.org/obo/GO_1901609>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"negative regulation of microtubule-based vesicle localization"	
<http://purl.obolibrary.org/obo/GO_1901609>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"down-regulation of vesicle transport along microtubule"	
<http://purl.obolibrary.org/obo/CL_0000100>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"motoneuron"	
<http://purl.obolibrary.org/obo/UBERON_1000021>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"face skin"	
<http://purl.obolibrary.org/obo/GO_0048872>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"homeostasis of cell number"	
<http://purl.obolibrary.org/obo/GO_0048872>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"cell population homeostasis"	
<http://purl.obolibrary.org/obo/GO_0061523>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"cilium resorption"	
<http://purl.obolibrary.org/obo/UBERON_0000383>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"muscle system of body"	
<http://purl.obolibrary.org/obo/UBERON_0000383>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"set of all muscles"	
<http://purl.obolibrary.org/obo/UBERON_0000383>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"muscle system"	
<http://purl.obolibrary.org/obo/UBERON_0000383>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"vertebrate muscular system"	
<http://purl.obolibrary.org/obo/UBERON_0000383>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"muscular system"	
<http://purl.obolibrary.org/obo/UBERON_0000383>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"set of muscles of body"	
<http://purl.obolibrary.org/obo/UBERON_0000383>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"musculature system"	
<http://purl.obolibrary.org/obo/GO_0045927>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of growth"	
<http://purl.obolibrary.org/obo/GO_0045927>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of growth"	
<http://purl.obolibrary.org/obo/GO_0045927>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of growth"	
<http://purl.obolibrary.org/obo/NCBITaxon_117565>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"fishes"	<http://purl.obolibrary.org/obo/ncbitaxon#common_name>
<http://purl.obolibrary.org/obo/NCBITaxon_117565>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"fish"	<http://purl.obolibrary.org/obo/ncbitaxon#common_name>
<http://purl.obolibrary.org/obo/UBERON_0003937>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"reproductive gland"	
<http://purl.obolibrary.org/obo/UBERON_0003937>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"genitalia gland"	
<http://purl.obolibrary.org/obo/UBERON_0003937>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"reproductive system gland"	
<http://purl.obolibrary.org/obo/UBERON_0003937>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"sex gland"	
<http://purl.obolibrary.org/obo/UBERON_0003937>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"gland of reproductive system"	
<http://purl.obolibrary.org/obo/UBERON_0003937>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"gland of genitalia"	
<http://purl.obolibrary.org/obo/CL_0000458>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"5-Hydroxytryptamine secreting cell"	
<http://purl.obolibrary.org/obo/CL_0000458>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"5-HT secreting cell"	
<http://purl.obolibrary.org/obo/UBERON_0000930>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"stomatodeum"	
<http://purl.obolibrary.org/obo/UBERON_0000930>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"stomodaeum"	
<http://purl.obolibrary.org/obo/UBERON_0000930>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"primitive oral cavity"	
<http://purl.obolibrary.org/obo/UBERON_0000930>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"mouth primordium"	
<http://purl.obolibrary.org/obo/GO_0006893>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"Golgi to plasma membrane vesicle-mediated transport"	
<http://purl.obolibrary.org/obo/GO_1903076>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of protein localization in plasma membrane"	
<http://purl.obolibrary.org/obo/CL_0000223>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"endoderm cell"	
<http://purl.obolibrary.org/obo/UBERON_0005334>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"lamina propria of oral mucosa"	
<http://purl.obolibrary.org/obo/GO_0006403>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"establishment and maintenance of RNA localization"	
<http://purl.obolibrary.org/obo/GO_0006403>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"RNA localisation"	
<http://purl.obolibrary.org/obo/GO_0046365>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"monosaccharide catabolism"	
<http://purl.obolibrary.org/obo/GO_0046365>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"monosaccharide breakdown"	
<http://purl.obolibrary.org/obo/GO_0046365>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"monosaccharide degradation"	
<http://purl.obolibrary.org/obo/UBERON_0004356>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"apical epidermal ridge"	
<http://purl.obolibrary.org/obo/UBERON_0006571>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"trabeculae carneae (ventriculus sinister)"	
<http://purl.obolibrary.org/obo/UBERON_0000220>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"occipito atlantal joint"	
<http://purl.obolibrary.org/obo/UBERON_0000220>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"atlanto occipital joint"	
<http://purl.obolibrary.org/obo/UBERON_0000220>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"occipito-atlantal joint"	
<http://purl.obolibrary.org/obo/UBERON_0000220>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"articulatio atlanto-occipitalis"	
<http://purl.obolibrary.org/obo/UBERON_0000220>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"atlantooccipital joint"	
<http://purl.obolibrary.org/obo/UBERON_0000220>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"craniovertebral joint"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"positive regulation of protein localisation in cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of protein localization in cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of protein localisation in cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of protein localization in cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of protein localization to cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"positive regulation of protein localization in cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of protein localization in cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of protein localisation in cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of protein localization to cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of protein localization to cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up regulation of protein localisation to cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of protein localisation in cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"upregulation of protein localisation to cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"positive regulation of protein localisation to cell leading edge"	
<http://purl.obolibrary.org/obo/GO_1905873>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"up-regulation of protein localisation to cell leading edge"	
<http://purl.obolibrary.org/obo/GO_0009894>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of breakdown"	
<http://purl.obolibrary.org/obo/GO_0009894>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of degradation"	
<http://purl.obolibrary.org/obo/GO_0009894>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of catabolism"	
<http://purl.obolibrary.org/obo/UBERON_0004820>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"epithelium of biliary duct"	
<http://purl.obolibrary.org/obo/UBERON_0004820>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"biliary duct epithelium"	
<http://purl.obolibrary.org/obo/UBERON_0004820>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"epithelium of bile duct"	
<http://purl.obolibrary.org/obo/GO_0031326>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of cellular anabolism"	
<http://purl.obolibrary.org/obo/GO_0031326>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of cellular synthesis"	
<http://purl.obolibrary.org/obo/GO_0031326>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of cellular formation"	
<http://purl.obolibrary.org/obo/GO_0031326>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"regulation of cellular biosynthesis"	
<http://purl.obolibrary.org/obo/UBERON_0004521>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"muscular organ vasculature"	
<http://purl.obolibrary.org/obo/UBERON_0004139>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"myocardial plate"	
<http://purl.obolibrary.org/obo/CL_0002255>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"endometrial stromal cell"	
<http://purl.obolibrary.org/obo/GO_0060345>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"spleen trabeculation"	
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"uterine serosa"	
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"uterus serosa"	
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"uterus serous membrane"	
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"visceral peritoneum of uterus"	
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"serous membrane of uterus"	
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"perimetrium"	
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"serous coat of uterus"	
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"tunica serosa uteri"	<http://purl.obolibrary.org/obo/uberon/core#LATIN>
<http://purl.obolibrary.org/obo/UBERON_0001297>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"tunica serosa (perimetrium)"	
<http://purl.obolibrary.org/obo/UBERON_0001064>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"chief pancreatic duct"	
<http://purl.obolibrary.org/obo/UBERON_0001064>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"duct of Wirsung"	
<http://purl.obolibrary.org/obo/UBERON_0001064>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"main pancreatic duct"	
<http://purl.obolibrary.org/obo/GO_0010160>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"organ boundary specification"	
<http://purl.obolibrary.org/obo/UBERON_0006072>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"cervical vertebrae series"	
<http://purl.obolibrary.org/obo/UBERON_0006072>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"cervical spinal column"	
<http://purl.obolibrary.org/obo/UBERON_0006072>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"cervical vertebral column"	
<http://purl.obolibrary.org/obo/UBERON_0006072>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"cervical spine"	
<http://purl.obolibrary.org/obo/UBERON_0006072>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"cervical skeleton"	
<http://purl.obolibrary.org/obo/UBERON_0006072>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"axial skeleton cervical region"	
<http://purl.obolibrary.org/obo/UBERON_0003571>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"connective tissue of trachea"	
<http://purl.obolibrary.org/obo/UBERON_0003571>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"connective tissue of windpipe"	
<http://purl.obolibrary.org/obo/UBERON_0002377>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neck muscle organ"	
<http://purl.obolibrary.org/obo/UBERON_0002377>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neck (volume) muscle organ"	
<http://purl.obolibrary.org/obo/UBERON_0002377>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"muscle organ of neck (volume)"	
<http://purl.obolibrary.org/obo/UBERON_0002377>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"muscle organ of neck"	
<http://purl.obolibrary.org/obo/UBERON_0002377>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"neck muscle"	
<http://purl.obolibrary.org/obo/PR_P19437>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"B-cell differentiation antigen Ly-44 (mouse)"	
<http://purl.obolibrary.org/obo/PR_P19437>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"membrane-spanning 4-domains subfamily A member 1 (mouse)"	
<http://purl.obolibrary.org/obo/PR_P19437>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"lymphocyte antigen 44 (mouse)"	
<http://purl.obolibrary.org/obo/PR_P19437>	<http://www.geneontology.org/formats/oboInOwl#hasExactSynonym>	"mMS4A1"	<http://purl.obolibrary.org/obo/pr#PRO-short-label>
